                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.66045,                0.57959,                0.89894,                0.87339,                0.84544,                0.90338,                0.79286,                0.56828,                0.52278,                0.86036,               0.006238,               0.006238,               0.006238
                    117,                0.65727,                0.58415,                0.89692,                0.88054,                0.85856,                0.90779,                0.78999,                0.56537,                0.51459,                0.85819,               0.006205,               0.006205,               0.006205
                    118,                0.65891,                0.57987,                0.89659,                0.87125,                0.87302,                0.91816,                0.79803,                0.56449,                0.51052,                0.85774,               0.006172,               0.006172,               0.006172
                    119,                0.65163,                 0.5776,                0.89732,                 0.8891,                0.83816,                0.91587,                0.79735,                0.56145,                0.51155,                0.86069,               0.006139,               0.006139,               0.006139
                    120,                0.65207,                0.57866,                0.89325,                0.87811,                0.87202,                0.92065,                0.80458,                0.56574,                0.50811,                0.85901,               0.006106,               0.006106,               0.006106
                    121,                0.65542,                0.58065,                 0.8943,                0.87247,                0.87043,                0.91178,                0.79885,                0.56506,                0.50962,                0.85969,               0.006073,               0.006073,               0.006073
                    122,                0.65309,                0.57507,                0.89704,                0.87667,                0.86179,                0.91682,                0.80173,                0.56231,                0.50927,                0.85782,                0.00604,                0.00604,                0.00604
                    123,                0.65078,                0.56729,                0.89605,                 0.8513,                0.89405,                0.91731,                0.80318,                0.56582,                 0.5108,                0.85796,               0.006007,               0.006007,               0.006007
                    124,                0.64751,                0.56996,                0.89262,                 0.8848,                0.86716,                0.91949,                0.80571,                0.55838,                0.49981,                0.85703,               0.005974,               0.005974,               0.005974
                    125,                0.65116,                0.57529,                0.89569,                0.88422,                0.84544,                0.91041,                0.79997,                0.56354,                   0.51,                0.85695,               0.005941,               0.005941,               0.005941
                    126,                0.65218,                0.56992,                 0.8934,                0.90045,                0.84998,                0.91235,                0.80353,                0.55741,                0.50495,                0.85505,               0.005908,               0.005908,               0.005908
                    127,                0.64972,                0.56722,                0.89541,                0.88299,                0.85599,                0.91116,                0.79928,                0.56316,                0.51054,                0.85774,               0.005875,               0.005875,               0.005875
                    128,                0.64933,                0.57053,                0.89566,                0.89333,                0.85272,                0.91267,                0.79947,                0.56046,                0.50489,                0.85669,               0.005842,               0.005842,               0.005842
                    129,                0.64259,                0.56051,                0.89393,                0.87025,                0.87335,                0.91498,                0.80644,                 0.5537,                0.49759,                0.85468,               0.005809,               0.005809,               0.005809
                    130,                0.64683,                0.56705,                0.89301,                0.85626,                0.88019,                0.91309,                0.79634,                0.55791,                0.50124,                 0.8548,               0.005776,               0.005776,               0.005776
                    131,                0.64594,                 0.5651,                0.89502,                0.88775,                 0.8598,                0.91609,                0.80506,                0.55646,                0.50282,                0.85511,               0.005743,               0.005743,               0.005743
                    132,                0.64153,                0.55908,                 0.8902,                0.89211,                0.85078,                0.91436,                0.80417,                0.55459,                0.49658,                0.85551,                0.00571,                0.00571,                0.00571
                    133,                0.64567,                0.56313,                 0.8925,                0.88264,                0.87273,                0.91759,                 0.8114,                0.55402,                 0.4978,                0.85307,               0.005677,               0.005677,               0.005677
                    134,                0.64296,                0.56093,                0.89314,                0.89231,                0.86499,                0.91796,                 0.8049,                 0.5534,                0.49345,                0.85257,               0.005644,               0.005644,               0.005644
                    135,                0.64089,                0.56322,                0.89347,                0.87534,                 0.8872,                0.92071,                0.81152,                0.55489,                 0.4976,                0.85376,               0.005611,               0.005611,               0.005611
                    136,                0.63736,                0.55589,                0.89218,                0.87456,                0.88624,                0.92697,                0.81748,                0.55535,                 0.4955,                0.85355,               0.005578,               0.005578,               0.005578
                    137,                 0.6397,                0.55488,                0.89223,                0.86656,                 0.8701,                0.91462,                0.80523,                0.55877,                 0.4999,                 0.8543,               0.005545,               0.005545,               0.005545
                    138,                0.64248,                0.55463,                0.89078,                0.88375,                0.86737,                  0.916,                0.80099,                0.55338,                 0.4924,                0.85335,               0.005512,               0.005512,               0.005512
                    139,                0.63701,                 0.5565,                 0.8886,                0.87207,                0.87935,                0.91689,                0.80303,                0.55605,                0.50269,                0.85309,               0.005479,               0.005479,               0.005479
